x,x_vel,yaw,yaw_vel
-1.4397217406089322,-4.581591766250505e-16,-0.006671606605775355,0.0048313468936680435
-1.4397217406089322,-4.581361096503859e-16,-0.006679279937529953,0.004779763568433293
-1.4397217406089322,-4.581361096503859e-16,-0.006794717539388663,0.005505132977285374
-1.4397217406089322,-4.58135538476887e-16,-0.0073663671864862505,0.005846689479883371
-1.4397217406089322,-4.581550983962157e-16,-0.007894298491783509,0.005129851907575657
-1.4397217406089322,-4.581349851503022e-16,-0.007976184578103186,0.004663807941075826
-1.4397217406089322,-4.581418184644241e-16,-0.008045536068533143,0.005277279372218982
-1.4397217406089322,-4.581344442163038e-16,-0.008087859158979962,0.004947712768415306
-1.4397217406089322,-4.581402542351005e-16,-0.007717091290427256,0.0042013366080550126
-1.4397217406089322,-4.581339163744841e-16,-0.007481529510933833,0.003884750532839316
-1.4397217406089322,-4.581495523279155e-16,-0.006854639410867618,0.004187286855289606
-1.4397217406089322,-4.58133402316272e-16,-0.0068611603409263425,0.004327838655962699
-1.4397217406089322,-4.581373055022751e-16,-0.007062466495482431,0.004695576003663532
-1.4397217406089322,-4.581329019434002e-16,-0.0069700605942903705,0.004688845660433422
-1.4397217406089322,-4.581359079018206e-16,-0.006651036194377787,0.004848265125650578
-1.4397217406089322,-4.58132411115842e-16,-0.006448862452058064,0.004492361596059852
-1.4397217406089322,-4.581345803641215e-16,-0.0064759024394738865,0.004194362640544927
-1.4397217406089322,-4.581319356864133e-16,-0.00655720817502901,0.0038690903019109875
-1.4397217406089322,-4.58143061285742e-16,-0.007787404623768021,0.003992913311000135
-1.4397217406089322,-4.581314717620152e-16,-0.007801919341981321,0.003926971346041375
-1.4397217406089322,-4.581423195770342e-16,-0.008462365380000761,0.00430960970624798
-1.4397217406089322,-4.581310193228219e-16,-0.008285570601589092,0.004094235524968854
-1.4397217406089322,-4.581310193228219e-16,-0.008475720274428873,0.0046248042583235515
-1.4397217406089322,-4.581305781139763e-16,-0.009047308399122175,0.004971340004619717
-1.4397217406089322,-4.581305781139763e-16,-0.00902482460833507,0.004910040837697228
-1.4397217406089322,-4.581301485710256e-16,-0.008200901986542553,0.005307770957585823
-1.4397217406089322,-4.581374880336411e-16,-0.007997525777913461,0.005679657109851616
-1.4397217406089322,-4.581297297301886e-16,-0.007600189999764945,0.005486387950568337
-1.4397217406089322,-4.581362251424252e-16,-0.007152923302924766,0.004203090006708442
-1.4397217406089322,-4.58129320584627e-16,-0.006943858292815788,0.0039988840647264216
-1.4397217406089322,-4.581350083073057e-16,-0.006874523103471053,0.0039233342461042165
-1.4397217406089322,-4.58128917769537e-16,-0.006984104162043521,0.003670324780498023
-1.4397217406089322,-4.58128917769537e-16,-0.007138571385643829,0.003547729340414486
-1.4397217406089322,-4.581285356239739e-16,-0.007355664515548367,0.00385122396172614
-1.4397217406089322,-4.581285356239739e-16,-0.007355664515548367,0.00385122396172614
-1.4397217406089322,-4.581281548639529e-16,-0.006800600440762247,0.00466305458274656
-1.4397217406089322,-4.581316325301735e-16,-0.006427262784773558,0.004109359353909334
-1.4397217406089322,-4.581277853366139e-16,-0.006174871256481409,0.0039144329652909034
-1.4397217406089322,-4.581305931405429e-16,-0.006444740654914618,0.004513728798775957
-1.4397217406089322,-4.58127424861774e-16,-0.006664236291432258,0.003901878351678614
-1.4397217406089322,-4.581369843499146e-16,-0.006545676223128046,0.003549261646044571
-1.4397217406089322,-4.581270740818025e-16,-0.0065732229202138896,0.003814939627732087
-1.4397217406089322,-4.581358348752832e-16,-0.0064264177550506524,0.004452667750425191
-1.4397217406089322,-4.581267302969217e-16,-0.00632810437941229,0.0038965476111456204
-1.4397217406089322,-4.581277070631068e-16,-0.006278932918062661,0.0038227511935420987
-1.4397217406089322,-4.581263950988149e-16,-0.00614053051903488,0.004172980131128228
-1.4397217406089322,-4.581342014396139e-16,-0.007342845494676117,0.0048784354397360275
-1.4397217406089322,-4.581260705025272e-16,-0.007399235503649171,0.004756316553909544
-1.4397217406089322,-4.581331627111461e-16,-0.007220798205596464,0.005448337185515258
-1.4397217406089322,-4.581257512196168e-16,-0.007223793672157275,0.005626398425664859
-1.4397217406089322,-4.581321705547929e-16,-0.0073087131518892465,0.005055047234006748
-1.4397217406089322,-4.581254417005164e-16,-0.00787069020989248,0.005205639277770206
-1.4397217406089322,-4.5813121212922225e-16,-0.008159062014858283,0.0038278046529824482
-1.4397217406089322,-4.581251394422526e-16,-0.008129257891937917,0.0033887625656445802
-1.4397217406089322,-4.581251394422526e-16,-0.007971387436951204,0.003103347849932215
-1.4397217406089322,-4.58124845431385e-16,-0.007189098375478629,0.003571645339749244
-1.4397217406089322,-4.58128937173261e-16,-0.00713964511458405,0.004079642680021942
-1.4397217406089322,-4.581245586740206e-16,-0.006809539776631441,0.0042143852441106425
-1.4397217406089322,-4.581280962720184e-16,-0.006561261177476408,0.004107311953625703
-1.4397217406089322,-4.581242787485201e-16,-0.0065731909490002426,0.004443326071224195
-1.4397217406089322,-4.581242787485201e-16,-0.0065731909490002426,0.004443326071224195
-1.4397217406089322,-4.58124006336877e-16,-0.0062043423771963105,0.004507528618447946
-1.4397217406089322,-4.581265094165542e-16,-0.006185548917083656,0.005260731356566312
-1.4397217406089322,-4.581237406662816e-16,-0.006296658405556765,0.004823332900505247
-1.4397217406089322,-4.581257613428918e-16,-0.006670664563458583,0.004358866100722073
-1.4397217406089322,-4.581234813339675e-16,-0.006710805974601257,0.005135649402612704
-1.4397217406089322,-4.581303602196806e-16,-0.007079410647361292,0.005301599503860688
